State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) ",total spending
36,06/30/2020,-7.28,-34.6,-47.9,-0.434,9.14,-13.7,-60.9,10.8,12.1,-125.494
44,06/30/2020,-12.3,-38.7,-49.8,-11.5,0.457,0.109,-34.3,8.34,15.7,-109.694
9,07/01/2020,-12.9,-44.0,-43.1,-10.6,8.64,-12.5,-66.6,4.1,1.2,-162.85999999999999
25,07/01/2020,-7.47,-32.9,-35.1,5.23,8.25,-12.4,-68.1,10.8,13.4,-110.81999999999998
34,07/01/2020,-3.03,-30.0,-39.8,8.55,13.2,-12.9,-55.1,18.3,23.1,-74.65
36,07/01/2020,-6.83,-34.7,-50.3,-1.22,10.0,-15.7,-59.1,10.9,11.6,-128.52
44,07/01/2020,-11.5,-39.0,-49.5,-13.7,3.15,-2.12,-27.5,5.97,8.67,-114.03000000000002
9,07/02/2020,-11.1,-43.7,-43.4,-8.5,10.0,-14.1,-62.7,6.08,3.46,-152.85999999999996
25,07/02/2020,-5.05,-31.3,-34.8,8.52,9.92,-6.87,-66.3,13.8,17.9,-89.13
34,07/02/2020,-2.63,-29.9,-40.6,8.2,13.9,-11.8,-54.6,18.5,22.9,-73.4
36,07/02/2020,-5.39,-33.9,-50.9,0.134,11.2,-13.6,-58.2,12.1,12.8,-120.366
44,07/02/2020,-8.04,-38.5,-49.6,-10.9,0.332,-4.34,-32.0,6.06,11.6,-117.34800000000001
9,07/03/2020,-11.5,-43.6,-44.5,-8.65,7.5,-19.7,-60.7,5.08,3.28,-161.29
25,07/03/2020,-6.77,-33.6,-34.9,7.51,6.32,-7.3,-62.2,10.4,15.0,-98.77
34,07/03/2020,-3.7,-32.4,-40.5,7.18,12.0,-16.1,-53.2,17.5,23.0,-82.52
36,07/03/2020,-5.8,-34.9,-52.4,-0.922,10.7,-17.1,-58.2,11.7,12.6,-128.52200000000002
44,07/03/2020,0.186,-42.9,-62.3,-8.2,-6.95,-6.57,-20.8,5.89,18.9,-122.93
9,07/04/2020,-8.66,-44.0,-48.0,-12.1,8.04,-2.7,-63.1,4.6,2.13,-155.13000000000002
25,07/04/2020,-4.09,-34.1,-37.7,5.49,5.54,7.0,-65.1,10.3,15.6,-92.97000000000001
34,07/04/2020,-1.96,-32.5,-41.7,5.0,9.21,2.11,-56.0,14.2,19.2,-80.47999999999999
36,07/04/2020,-4.06,-36.8,-51.0,-1.38,7.1,1.37,-58.4,9.6,11.9,-117.60999999999999
44,07/04/2020,-5.07,-39.3,-69.2,-12.3,-3.91,-8.8,-12.7,4.94,13.6,-127.66999999999999
9,07/05/2020,-8.88,-42.2,-43.9,-9.91,7.79,-9.16,-59.8,3.67,0.878,-152.632
25,07/05/2020,-2.94,-31.6,-33.1,8.0,9.33,8.47,-64.5,13.1,17.4,-72.9
34,07/05/2020,-2.16,-31.3,-40.2,5.35,10.7,-5.61,-55.7,15.5,20.3,-80.96000000000001
36,07/05/2020,-3.83,-35.0,-51.1,-1.19,9.06,-3.6,-57.8,11.0,12.9,-115.72999999999999
44,07/05/2020,-1.01,-38.2,-64.2,-11.1,-1.19,-11.0,-8.43,7.21,15.8,-111.11000000000001
9,07/06/2020,-8.52,-41.8,-41.4,-6.07,13.3,-11.6,-64.0,9.83,7.41,-134.32999999999998
25,07/06/2020,-2.13,-30.0,-30.4,11.4,11.4,-2.35,-62.4,16.2,21.4,-64.75
34,07/06/2020,-1.46,-31.0,-40.2,8.73,13.5,-8.28,-56.3,19.2,24.6,-69.75
36,07/06/2020,-3.77,-34.0,-51.1,0.0658,12.9,-6.95,-57.8,13.3,13.8,-109.7842
44,07/06/2020,-2.36,-40.0,-68.0,-4.86,-5.59,-4.57,-31.4,5.66,16.8,-131.96
9,07/07/2020,-7.87,-40.2,-37.6,-6.32,13.0,-10.7,-63.8,8.97,6.21,-130.44
25,07/07/2020,-2.59,-28.5,-32.2,13.0,11.6,-4.7,-61.8,16.7,22.2,-63.69999999999999
34,07/07/2020,-2.12,-30.5,-40.7,8.51,13.0,-6.96,-55.2,18.5,23.9,-69.45000000000002
36,07/07/2020,-4.21,-33.4,-51.7,0.725,13.1,-7.87,-56.8,14.3,15.4,-106.24499999999999
44,07/07/2020,-6.16,-40.1,-41.5,-8.07,-2.63,1.89,-27.6,4.58,11.6,-101.83
9,07/08/2020,-8.55,-40.8,-32.1,-5.69,12.7,-19.2,-66.4,8.87,6.23,-136.39000000000001
25,07/08/2020,-3.01,-28.1,-29.4,13.1,11.7,-9.85,-64.3,16.6,22.0,-68.25
34,07/08/2020,-2.3,-29.1,-32.5,8.22,12.4,-6.77,-56.0,17.9,23.3,-62.55
36,07/08/2020,-4.79,-33.1,-47.2,0.984,12.8,-8.99,-59.9,14.2,15.5,-105.706
44,07/08/2020,-6.26,-36.1,-31.0,-2.87,-3.96,8.35,-30.9,4.49,12.8,-79.19
9,07/09/2020,-8.61,-40.0,-31.8,-5.22,13.7,-14.3,-70.2,9.64,6.97,-131.21
25,07/09/2020,-4.21,-29.0,-31.7,13.1,10.5,-16.3,-63.2,15.6,20.9,-80.10000000000002
34,07/09/2020,-2.76,-28.4,-29.0,8.95,10.8,-6.15,-55.7,16.9,22.8,-59.8
36,07/09/2020,-5.21,-33.0,-46.9,0.267,11.9,-6.35,-61.9,13.5,15.0,-107.483
44,07/09/2020,-8.82,-35.9,-24.3,-1.65,-3.44,14.8,-40.6,3.8,10.8,-76.49000000000001
9,07/10/2020,-8.27,-40.2,-38.0,-2.95,15.9,-12.0,-68.6,11.2,8.2,-126.45
25,07/10/2020,-4.82,-29.3,-33.8,14.2,10.9,-13.7,-62.0,15.8,20.9,-77.0
34,07/10/2020,-4.07,-30.1,-29.6,8.0,7.22,-7.12,-54.2,14.2,21.0,-70.60000000000001
36,07/10/2020,-5.4,-32.0,-48.3,-0.0016,12.0,-8.67,-63.1,12.4,12.8,-114.87159999999999
44,07/10/2020,0.532,-36.7,-6.31,7.31,-2.98,21.3,-54.0,5.93,14.5,-50.94999999999999
9,07/11/2020,-7.71,-38.8,-42.1,-1.86,19.7,-14.3,-69.1,15.0,11.9,-119.55999999999997
25,07/11/2020,-4.23,-28.9,-35.8,13.8,12.7,-18.2,-63.7,18.0,23.6,-78.5
34,07/11/2020,-3.55,-29.8,-29.5,10.1,8.91,-8.02,-56.5,16.2,23.3,-65.30999999999999
36,07/11/2020,-5.29,-31.1,-49.2,1.58,12.5,-11.7,-64.1,13.6,14.5,-113.92000000000002
44,07/11/2020,-0.987,-37.9,-2.66,7.34,-0.447,27.7,-55.0,6.88,13.8,-40.28699999999999
9,07/12/2020,-6.51,-38.3,-42.7,-0.291,20.7,-17.5,-68.4,16.3,13.4,-116.79099999999997
25,07/12/2020,-3.5,-27.0,-31.4,12.9,14.2,-19.2,-65.4,19.7,25.5,-70.7
34,07/12/2020,-3.56,-28.8,-28.1,10.1,8.03,-10.3,-57.6,15.8,23.3,-67.57000000000002
36,07/12/2020,-4.71,-29.8,-49.9,2.57,13.6,-13.0,-64.5,15.0,16.1,-109.93
44,07/12/2020,1.63,-33.5,5.46,6.07,2.69,34.2,-64.2,7.8,12.5,-28.980000000000004
9,07/13/2020,-6.69,-39.4,-46.2,-0.976,17.9,-15.8,-68.8,14.9,12.7,-125.67599999999997
25,07/13/2020,-5.04,-28.0,-31.2,14.5,11.9,-16.6,-66.2,18.8,26.1,-70.70000000000002
34,07/13/2020,-3.52,-29.1,-29.2,10.8,7.69,-10.7,-58.1,15.4,23.0,-70.21000000000001
36,07/13/2020,-5.21,-29.9,-50.1,3.92,12.8,-14.8,-64.7,14.5,15.9,-112.38
44,07/13/2020,3.12,-32.5,24.9,10.0,10.6,28.5,-62.2,14.0,17.5,10.799999999999997
9,07/14/2020,-6.27,-38.9,-50.9,-2.53,17.4,-11.2,-70.7,14.2,11.8,-130.83
25,07/14/2020,-4.67,-28.2,-31.1,14.0,12.3,-15.2,-67.2,18.4,25.0,-72.0
34,07/14/2020,-3.35,-29.0,-29.6,9.42,7.57,-11.6,-60.2,15.1,22.4,-75.91
36,07/14/2020,-5.61,-29.7,-50.0,2.89,12.0,-14.8,-66.9,13.4,14.6,-118.50999999999999
44,07/14/2020,0.812,-32.1,-3.0,6.11,5.54,22.8,-67.6,9.84,14.5,-43.91
9,07/15/2020,-5.5,-38.2,-50.3,0.633,19.8,-12.6,-69.8,15.9,13.2,-121.36699999999998
25,07/15/2020,-2.96,-27.5,-30.0,13.3,13.6,-10.2,-67.5,18.6,23.8,-65.89999999999999
34,07/15/2020,-2.26,-29.1,-30.3,9.04,8.38,-12.1,-60.8,15.7,22.8,-76.38
36,07/15/2020,-5.36,-29.6,-49.5,3.77,11.7,-14.7,-66.5,13.5,15.0,-116.32999999999998
44,07/15/2020,1.1,-32.6,-15.8,-4.3,9.0,17.1,-63.1,8.6,8.91,-72.19000000000001
9,07/16/2020,-5.63,-38.2,-47.9,0.391,20.7,-10.7,-69.6,14.9,11.0,-119.40899999999996
25,07/16/2020,-2.77,-26.4,-28.7,14.1,14.6,-4.62,-69.6,19.2,23.9,-57.51999999999999
34,07/16/2020,-1.79,-29.1,-32.3,8.62,8.32,-12.1,-61.1,16.0,23.6,-78.06
36,07/16/2020,-4.88,-29.2,-49.5,4.26,11.9,-16.8,-65.5,13.7,15.1,-116.04000000000002
44,07/16/2020,-0.0797,-31.6,-22.5,-3.38,17.9,11.5,-60.8,14.1,11.3,-63.480000000000004
9,07/17/2020,-5.24,-37.2,-40.0,0.0659,21.1,-8.8,-69.4,15.7,12.2,-106.3341
25,07/17/2020,-1.51,-24.3,-26.3,13.9,17.2,-3.31,-69.8,20.4,23.7,-48.510000000000005
34,07/17/2020,-0.353,-27.3,-32.7,10.5,12.0,-10.4,-62.3,19.4,26.5,-64.29999999999998
36,07/17/2020,-3.77,-28.4,-49.9,5.74,13.1,-17.6,-65.2,16.1,18.6,-107.56
44,07/17/2020,-0.15,-29.5,-29.3,-6.58,21.0,5.79,-58.6,17.1,14.5,-65.59
9,07/18/2020,-5.26,-36.9,-36.3,-1.29,21.7,-8.72,-68.7,14.5,9.84,-105.86999999999998
25,07/18/2020,-1.89,-23.4,-25.3,11.4,17.2,-5.12,-70.9,18.7,20.2,-57.22
34,07/18/2020,-1.2,-26.6,-32.8,7.13,11.3,-10.3,-60.7,16.9,22.3,-72.77
36,07/18/2020,-4.48,-28.4,-49.4,3.71,12.5,-14.7,-65.2,14.7,16.5,-110.29
44,07/18/2020,-1.33,-25.6,-34.4,-8.76,22.2,0.11,-58.2,16.2,11.9,-76.55
9,07/19/2020,-5.97,-35.4,-34.2,-0.901,23.0,-7.76,-69.4,14.7,9.29,-100.67099999999999
25,07/19/2020,-2.02,-22.5,-26.3,12.1,17.8,-5.34,-71.0,17.9,18.0,-59.34
34,07/19/2020,-1.1,-26.3,-33.6,6.66,11.8,-9.68,-60.0,16.3,20.8,-74.02000000000001
36,07/19/2020,-4.74,-28.7,-48.2,3.71,12.2,-12.2,-64.2,14.1,15.8,-107.49000000000002
44,07/19/2020,-0.93,-25.0,-46.1,-9.69,25.4,-5.57,-50.1,16.8,10.3,-83.96000000000001
9,07/20/2020,-5.81,-34.3,-29.3,-0.349,22.9,-6.47,-69.8,14.9,9.82,-92.59899999999999
25,07/20/2020,-1.23,-20.9,-32.3,11.5,19.4,-6.69,-71.3,18.5,17.5,-64.28999999999999
34,07/20/2020,-1.22,-26.4,-33.2,6.28,11.3,-7.17,-58.8,15.9,20.3,-71.78999999999999
36,07/20/2020,-4.73,-28.6,-48.3,4.1,12.4,-11.6,-64.2,14.7,16.7,-104.80000000000001
44,07/20/2020,-1.85,-25.3,-47.4,-7.63,22.2,17.0,-46.4,14.3,8.04,-65.19
9,07/21/2020,-6.51,-34.0,-26.5,0.306,25.6,-10.7,-64.6,16.0,9.89,-84.00399999999999
25,07/21/2020,-1.41,-20.9,-31.1,13.0,20.3,-6.99,-72.5,20.1,19.9,-58.190000000000005
34,07/21/2020,-1.78,-25.9,-32.9,6.85,11.5,-6.5,-58.4,15.9,20.2,-69.24999999999999
36,07/21/2020,-4.76,-28.1,-48.2,5.45,12.8,-10.9,-64.1,15.4,17.6,-100.05000000000001
44,07/21/2020,-1.8,-22.9,-57.2,-5.22,26.7,39.5,-41.5,17.5,9.89,-33.22999999999999
9,07/22/2020,-6.02,-33.7,-22.6,1.56,25.6,-6.0,-64.0,16.3,10.5,-72.34
25,07/22/2020,-1.51,-20.3,-31.6,14.7,19.4,-1.29,-72.6,20.5,21.7,-49.489999999999995
34,07/22/2020,-2.27,-26.7,-30.9,8.44,11.8,-1.61,-58.6,16.8,21.6,-59.169999999999995
36,07/22/2020,-4.38,-27.9,-49.1,6.06,13.0,-8.97,-63.2,15.5,17.6,-97.01000000000002
44,07/22/2020,-1.19,-24.2,-34.3,1.94,22.9,62.0,-47.9,17.0,12.3,9.739999999999998
9,07/23/2020,-5.53,-33.7,-25.5,2.59,24.7,-6.0,-66.2,18.1,13.8,-72.21
25,07/23/2020,-0.846,-20.5,-33.0,14.1,20.1,-0.554,-73.0,21.3,22.6,-48.954
34,07/23/2020,-2.12,-26.9,-28.9,9.06,13.0,-0.949,-59.0,17.1,21.1,-55.489
36,07/23/2020,-4.68,-28.2,-53.9,6.91,13.6,-8.89,-63.3,16.0,18.2,-99.57999999999997
44,07/23/2020,-2.85,-22.0,-39.8,-6.19,17.1,84.6,-64.2,10.9,5.5,-14.090000000000003
9,07/24/2020,-5.23,-32.9,-27.0,4.23,23.9,-2.16,-67.6,17.5,13.3,-70.73
25,07/24/2020,-0.494,-21.3,-29.5,16.1,18.2,1.0,-70.1,20.8,23.6,-41.199999999999996
34,07/24/2020,-2.0,-26.8,-26.5,9.12,12.8,-1.91,-58.4,17.1,21.3,-53.290000000000006
36,07/24/2020,-4.8,-28.1,-51.9,6.41,13.5,-7.4,-63.6,15.8,17.9,-97.39000000000001
44,07/24/2020,-1.23,-24.0,-43.4,1.14,15.5,107.0,-53.8,11.5,8.03,21.97
9,07/25/2020,-5.3,-32.2,-32.0,5.54,24.1,-5.36,-69.0,17.8,13.6,-77.52000000000001
25,07/25/2020,0.0927,-21.1,-30.9,18.5,18.4,5.76,-67.8,21.5,24.8,-30.84
34,07/25/2020,-2.06,-26.7,-26.6,9.81,12.3,-2.77,-59.1,17.1,21.7,-54.260000000000005
36,07/25/2020,-4.31,-28.7,-52.9,7.53,13.9,-7.34,-63.6,16.6,18.9,-95.60999999999999
44,07/25/2020,-3.73,-34.0,-47.9,-0.97,11.7,130.0,-62.4,10.9,10.6,17.93
9,07/26/2020,-5.38,-33.8,-35.4,5.2,23.0,-5.92,-68.9,17.5,13.7,-84.61999999999999
25,07/26/2020,0.951,-21.4,-28.7,20.1,20.1,10.5,-68.3,24.6,29.5,-13.599999999999987
34,07/26/2020,-1.84,-27.0,-27.3,11.2,12.9,-5.27,-59.4,18.2,23.3,-53.370000000000005
36,07/26/2020,-4.13,-28.4,-51.9,8.36,14.0,-10.2,-64.4,17.0,19.6,-95.94000000000003
44,07/26/2020,-5.87,-36.6,-36.9,-0.524,6.73,152.0,-65.2,7.13,7.64,34.275999999999996
9,07/27/2020,-4.27,-32.9,-38.8,6.61,23.2,3.22,-66.1,17.9,14.3,-72.56999999999998
25,07/27/2020,0.876,-22.0,-26.8,21.7,21.4,13.4,-69.7,25.2,29.6,-7.199999999999996
34,07/27/2020,-2.24,-26.4,-26.8,10.8,13.2,-7.36,-59.9,17.9,22.5,-56.06
36,07/27/2020,-4.05,-28.1,-53.1,7.58,13.8,-9.28,-64.2,16.9,19.6,-96.80000000000001
44,07/27/2020,-9.05,-38.0,-36.3,-7.11,4.65,127.0,-61.6,4.26,4.0,-3.0999999999999925
9,07/28/2020,-4.3,-32.7,-41.2,8.06,21.3,2.71,-70.0,18.6,16.6,-76.63000000000002
25,07/28/2020,0.676,-21.1,-31.0,18.5,21.1,11.1,-68.3,24.0,27.4,-18.300000000000004
34,07/28/2020,-2.47,-27.0,-29.0,10.4,12.8,-7.52,-60.1,17.5,22.1,-60.819999999999986
36,07/28/2020,-4.14,-28.7,-54.0,6.85,13.6,-10.2,-64.1,16.3,18.7,-101.55000000000001
44,07/28/2020,-10.8,-35.9,-40.9,-9.58,4.84,101.0,-69.1,1.28,-2.31,-50.66999999999999
9,07/29/2020,-4.94,-32.4,-43.3,5.71,21.5,1.96,-71.6,19.2,17.5,-81.42999999999999
25,07/29/2020,0.461,-21.3,-29.3,16.5,21.7,3.68,-68.3,23.3,25.2,-28.52
34,07/29/2020,-2.66,-26.5,-29.0,9.18,11.9,-10.8,-59.9,16.1,20.2,-68.82000000000001
36,07/29/2020,-4.09,-28.4,-54.0,5.8,13.4,-9.72,-64.5,16.4,19.1,-101.92000000000002
44,07/29/2020,-11.7,-37.3,-56.1,-9.84,6.25,75.9,-70.6,3.77,1.36,-86.56
9,07/30/2020,-5.26,-32.1,-43.1,6.23,21.5,-0.0062,-67.7,18.1,15.6,-81.4762
25,07/30/2020,0.263,-20.5,-28.4,16.4,21.5,0.0902,-68.6,22.7,24.0,-32.809799999999996
34,07/30/2020,-3.68,-26.1,-28.9,7.96,11.0,-12.0,-58.9,15.3,19.5,-72.14
36,07/30/2020,-4.34,-28.1,-49.5,4.92,12.5,-7.51,-64.2,15.9,19.0,-96.98999999999998
44,07/30/2020,-7.92,-37.3,-49.9,-3.86,6.75,50.5,-56.7,3.43,0.379,-86.70099999999998
9,07/31/2020,-4.53,-31.1,-45.1,5.03,21.0,-4.37,-66.4,18.3,16.3,-86.34
25,07/31/2020,-0.384,-19.9,-31.5,13.3,22.1,-3.49,-71.6,22.3,22.6,-46.18999999999999
34,07/31/2020,-3.62,-26.1,-26.9,8.37,11.6,-10.3,-59.6,15.6,19.4,-67.93
36,07/31/2020,-3.68,-27.5,-49.5,5.89,13.0,-5.93,-63.7,16.0,18.6,-93.13999999999999
44,07/31/2020,-9.65,-36.7,-55.6,-10.9,4.27,25.0,-53.4,1.79,-0.359,-125.899
9,08/01/2020,-5.44,-30.7,-43.3,2.96,19.6,-2.89,-64.6,16.8,14.9,-87.23
25,08/01/2020,-1.76,-20.7,-33.2,12.7,21.2,-5.88,-71.3,21.5,21.7,-53.980000000000004
34,08/01/2020,-5.08,-25.0,-36.6,6.88,10.7,-10.6,-59.8,14.2,17.7,-82.51999999999998
36,08/01/2020,-4.88,-26.2,-53.0,5.46,12.7,-8.74,-62.2,15.4,17.9,-98.68
44,08/01/2020,-6.53,-26.3,-52.6,-10.9,6.01,-0.406,-47.4,-0.256,-6.07,-137.922
9,08/02/2020,-5.97,-29.8,-45.0,1.99,19.7,-1.35,-60.9,16.7,14.6,-84.06
25,08/02/2020,-2.53,-21.9,-34.3,12.2,21.2,-7.74,-70.2,20.6,19.9,-60.240000000000016
34,08/02/2020,-5.36,-24.6,-36.5,6.51,10.9,-7.79,-59.3,14.2,17.3,-79.28
36,08/02/2020,-5.26,-25.9,-54.2,5.34,13.4,-7.28,-61.7,15.6,17.4,-97.33999999999997
44,08/02/2020,-8.79,-28.3,-54.6,-11.1,9.66,-25.8,-39.5,4.77,0.396,-144.474
9,08/03/2020,-5.14,-29.4,-42.5,1.54,21.5,-9.57,-61.6,16.6,13.3,-90.13000000000001
25,08/03/2020,-1.97,-22.5,-33.9,10.0,20.3,-8.05,-65.8,19.2,18.1,-62.649999999999984
34,08/03/2020,-4.21,-25.4,-36.1,6.46,12.7,-4.01,-57.4,15.0,17.3,-71.45
36,08/03/2020,-3.94,-25.8,-53.5,5.52,14.2,-4.4,-59.2,15.8,17.2,-90.18
44,08/03/2020,-7.97,-29.2,-53.7,-8.88,11.1,-24.7,-45.3,5.39,0.118,-145.17200000000003
9,08/04/2020,-6.14,-30.2,-43.2,-1.78,19.7,-10.8,-62.4,14.4,10.8,-103.48
25,08/04/2020,-1.49,-23.8,-31.7,11.1,19.9,-5.77,-65.1,18.8,17.7,-58.86999999999999
34,08/04/2020,-6.24,-26.6,-34.9,2.48,8.48,-9.18,-57.3,10.9,13.4,-92.72
36,08/04/2020,-4.68,-26.4,-54.2,4.25,12.6,-6.55,-58.4,14.1,15.4,-99.19999999999999
44,08/04/2020,-6.59,-31.4,-55.0,-5.05,10.1,-23.6,-42.4,9.84,9.87,-127.64000000000001
9,08/05/2020,-9.53,-31.6,-44.2,-7.1,14.6,-21.3,-62.1,8.41,4.29,-139.00000000000003
25,08/05/2020,-1.88,-24.9,-33.3,12.1,19.7,-3.27,-63.0,19.1,18.5,-55.06999999999999
34,08/05/2020,-6.9,-26.5,-37.0,1.16,7.73,-10.2,-57.1,10.3,12.9,-98.71
36,08/05/2020,-5.03,-26.1,-54.1,2.74,11.9,-7.34,-58.7,12.9,13.8,-104.90000000000002
44,08/05/2020,-7.68,-31.5,-59.4,-6.58,9.08,-22.4,-47.2,8.64,8.26,-141.10000000000002
9,08/06/2020,-10.1,-31.7,-43.7,-10.5,13.3,-27.2,-65.9,6.66,2.25,-156.79000000000002
25,08/06/2020,-1.08,-25.8,-30.5,13.9,20.0,-1.28,-58.8,19.8,19.6,-43.07999999999999
34,08/06/2020,-5.95,-26.1,-39.1,1.83,8.23,-10.5,-56.9,11.2,14.2,-97.13999999999999
36,08/06/2020,-4.92,-25.5,-53.5,2.81,12.5,-11.4,-59.7,13.1,13.6,-108.09000000000003
44,08/06/2020,-10.1,-34.4,-63.1,-9.14,8.63,-21.3,-52.5,11.4,14.2,-146.21
9,08/07/2020,-12.5,-32.4,-43.3,-10.6,13.2,-33.6,-69.0,5.15,-0.111,-170.66099999999997
25,08/07/2020,-0.997,-26.3,-27.7,13.4,20.6,4.88,-55.8,20.4,20.1,-30.42
34,08/07/2020,-5.26,-26.4,-40.0,3.05,8.8,-11.8,-55.5,11.9,15.0,-94.95
36,08/07/2020,-5.57,-25.5,-55.4,1.53,11.6,-12.3,-60.3,12.4,13.2,-114.77
44,08/07/2020,-8.52,-35.2,-58.9,-3.8,10.4,-20.1,-59.0,14.9,19.1,-132.6
9,08/08/2020,-12.1,-32.3,-43.7,-9.16,13.9,-38.7,-70.2,6.58,1.7,-171.88
25,08/08/2020,-0.131,-24.9,-22.0,15.1,21.6,1.13,-56.4,21.5,21.4,-22.57
34,08/08/2020,-2.84,-26.5,-31.6,5.65,10.2,-9.77,-54.1,14.6,18.9,-72.62
36,08/08/2020,-4.19,-25.1,-51.0,2.16,12.6,-9.71,-61.4,13.1,13.5,-105.85
44,08/08/2020,-8.03,-37.4,-64.9,-3.4,10.4,-19.0,-62.3,20.5,30.8,-125.30000000000003
9,08/09/2020,-11.4,-30.8,-39.9,-7.81,15.5,-38.6,-74.0,7.22,1.69,-166.70000000000002
25,08/09/2020,0.342,-23.3,-21.9,14.7,20.5,6.99,-56.4,19.5,18.4,-21.510000000000005
34,08/09/2020,-1.73,-26.3,-30.0,6.48,10.2,-8.28,-54.4,15.1,19.8,-67.39999999999999
36,08/09/2020,-3.33,-24.3,-49.6,1.49,13.0,-9.96,-61.6,13.2,13.4,-104.36999999999999
44,08/09/2020,-4.59,-36.7,-66.0,-1.24,11.4,-17.8,-72.2,17.9,23.8,-140.83999999999997
9,08/10/2020,-12.8,-31.0,-40.3,-8.06,15.0,-40.5,-74.6,7.54,2.47,-169.45
25,08/10/2020,-0.256,-23.6,-23.0,15.4,20.6,4.1,-58.8,19.3,18.1,-27.9
34,08/10/2020,-2.93,-25.8,-30.9,6.03,8.23,-11.9,-57.0,14.1,19.7,-77.54
36,08/10/2020,-4.22,-24.4,-49.5,0.802,12.3,-11.9,-64.1,12.8,13.2,-110.798
44,08/10/2020,-4.74,-35.0,-63.4,-1.6,10.5,-22.1,-59.0,20.2,29.4,-121.0
9,08/11/2020,-11.8,-28.6,-39.5,-5.13,19.0,-40.6,-73.9,9.89,3.82,-155.01999999999998
25,08/11/2020,-1.05,-22.7,-24.4,15.3,20.6,4.25,-60.3,18.1,15.8,-33.34999999999998
34,08/11/2020,-0.254,-24.3,-31.5,10.3,12.1,-5.85,-55.1,18.6,24.8,-50.95
36,08/11/2020,-3.22,-23.3,-48.3,1.63,13.6,-7.66,-63.9,14.1,14.4,-99.43
44,08/11/2020,-5.21,-36.7,-57.3,-3.2,9.2,-26.4,-62.2,16.6,23.4,-136.60000000000002
9,08/12/2020,-8.54,-27.3,-38.7,-1.37,26.4,-31.0,-74.4,14.6,6.94,-124.83000000000001
25,08/12/2020,-0.736,-21.5,-23.6,13.3,21.6,-1.17,-61.2,17.3,13.4,-41.87000000000001
34,08/12/2020,0.428,-24.7,-28.3,11.0,12.8,-7.32,-55.5,18.8,24.6,-48.62
36,08/12/2020,-2.39,-23.1,-47.0,2.93,14.9,-8.46,-63.5,15.0,15.1,-94.13
44,08/12/2020,-4.89,-35.8,-52.2,-6.91,7.68,-30.7,-60.6,5.84,4.14,-168.55
9,08/13/2020,-7.78,-27.4,-38.2,-0.879,28.8,-26.6,-73.2,15.5,7.05,-114.92899999999999
25,08/13/2020,-2.07,-21.1,-25.6,10.5,20.1,-1.84,-65.0,14.8,10.1,-58.04
34,08/13/2020,0.0973,-25.4,-26.6,10.1,12.2,-7.24,-54.5,17.6,22.8,-51.040000000000006
36,08/13/2020,-1.84,-23.6,-48.0,2.92,13.4,-7.72,-62.4,15.0,16.4,-94.0
44,08/13/2020,-2.36,-35.4,-47.6,-4.92,10.2,-35.0,-71.2,6.98,4.09,-172.85000000000002
9,08/14/2020,-5.7,-27.0,-36.9,-1.43,30.9,-22.7,-70.9,16.8,7.85,-103.38000000000001
25,08/14/2020,-3.31,-20.6,-31.4,10.9,18.0,-7.25,-68.9,12.0,6.84,-80.41
34,08/14/2020,-0.787,-24.5,-27.3,7.12,11.1,-8.67,-54.1,15.9,20.5,-59.94999999999999
36,08/14/2020,-1.85,-22.8,-46.3,2.89,13.8,-7.5,-61.2,15.2,16.4,-89.50999999999999
44,08/14/2020,-3.25,-33.9,-48.2,-18.6,5.93,-39.3,-74.1,0.99,-2.93,-210.10999999999999
9,08/15/2020,-5.36,-27.4,-40.2,-0.994,30.9,-16.8,-71.2,15.7,6.26,-103.734
25,08/15/2020,-4.56,-20.6,-33.9,8.9,17.5,-2.88,-68.0,9.52,2.44,-87.02000000000001
34,08/15/2020,-2.32,-24.5,-27.9,4.7,10.1,-11.0,-54.7,13.7,17.2,-72.39999999999999
36,08/15/2020,-2.29,-22.9,-48.3,2.48,13.3,-10.1,-60.8,15.6,17.6,-93.11999999999998
44,08/15/2020,-1.4,-33.7,-38.7,-16.1,5.53,-43.6,-70.1,0.489,-3.34,-199.521
9,08/16/2020,-5.67,-29.0,-43.7,0.515,30.9,-17.4,-68.9,15.0,5.39,-107.19500000000001
25,08/16/2020,-4.62,-20.6,-34.4,7.87,18.6,-8.13,-68.2,10.2,2.89,-91.77000000000001
34,08/16/2020,-3.09,-25.4,-30.3,4.42,9.95,-12.1,-53.7,13.3,16.5,-77.33
36,08/16/2020,-2.35,-23.6,-49.6,2.24,13.2,-9.64,-59.5,15.5,17.4,-94.0
44,08/16/2020,-1.5,-31.3,-13.0,-18.9,4.9,-47.9,-70.4,-0.736,-4.93,-182.266
9,08/17/2020,-5.8,-28.6,-44.5,-0.892,28.1,-18.5,-69.1,13.4,4.57,-115.52199999999999
25,08/17/2020,-5.76,-20.3,-32.7,5.46,18.8,-4.9,-69.9,6.36,-5.53,-102.71000000000001
