State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) ",total spending
9,04/24/2020,-30.2,-67.6,-72.0,-34.9,14.7,-61.9,-81.9,-9.2,-24.6,-337.40000000000003
25,04/24/2020,-27.1,-61.1,-72.1,-27.6,12.5,-55.8,-80.4,-0.854,-14.8,-300.154
34,04/24/2020,-21.4,-60.7,-62.2,-28.0,15.9,-52.1,-72.9,-1.1,-15.0,-276.1
36,04/24/2020,-22.6,-61.7,-77.8,-29.2,12.8,-57.6,-81.2,-1.47,-13.6,-309.77000000000004
44,04/24/2020,-28.0,-64.2,-72.1,-34.5,2.77,-71.4,-65.4,-2.16,-6.14,-313.13000000000005
9,04/25/2020,-30.5,-65.4,-68.3,-35.2,15.8,-61.7,-82.5,-9.79,-25.5,-332.59
25,04/25/2020,-25.6,-57.0,-71.5,-27.3,15.3,-55.8,-78.9,1.41,-12.7,-286.49
34,04/25/2020,-21.4,-60.5,-62.1,-28.6,20.0,-52.9,-73.7,0.231,-15.3,-272.869
36,04/25/2020,-22.7,-61.1,-76.6,-30.0,14.4,-57.9,-80.9,-1.62,-14.7,-308.42
44,04/25/2020,-25.5,-61.0,-69.8,-30.2,3.44,-70.8,-69.4,-0.0952,-3.04,-300.8952
9,04/26/2020,-30.1,-64.8,-68.6,-32.4,24.8,-64.1,-82.7,-5.97,-24.2,-317.96999999999997
25,04/26/2020,-24.8,-56.7,-71.6,-23.2,22.4,-57.0,-79.4,5.69,-10.7,-270.51
34,04/26/2020,-21.3,-60.8,-62.2,-25.5,29.2,-53.9,-74.8,4.5,-14.1,-257.6
36,04/26/2020,-22.6,-60.6,-75.8,-26.8,21.9,-58.7,-81.7,2.26,-13.3,-292.74
44,04/26/2020,-22.6,-61.1,-67.5,-26.5,8.06,-70.1,-71.1,1.38,-3.99,-290.85
9,04/27/2020,-29.8,-64.9,-68.8,-30.7,32.7,-66.2,-82.1,-3.24,-23.2,-306.44
25,04/27/2020,-23.4,-57.6,-71.5,-17.9,33.1,-56.6,-78.9,11.4,-8.63,-246.63
34,04/27/2020,-20.1,-60.8,-62.0,-22.5,39.8,-54.6,-74.6,9.56,-12.2,-237.34
36,04/27/2020,-21.6,-60.4,-75.9,-25.1,30.6,-59.0,-81.2,6.38,-12.1,-276.72
44,04/27/2020,-23.2,-61.8,-67.9,-28.6,16.9,-70.5,-70.6,0.757,-12.0,-293.743
9,04/28/2020,-30.9,-65.0,-71.4,-34.9,21.9,-67.4,-81.7,-8.07,-25.1,-331.67
